                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.29156,                0.28019,                0.22462,                0.86239,                0.99921,                      1,                  0.995,                0.99368,                0.99921,                      1,                  0.995,                 0.9905,                0.14549,                0.14917,                0.11799,                0.80714,              0.0098079,              0.0098079,              0.0098079
                    100,                0.29246,                0.29121,                0.22266,                0.86097,                0.99919,                      1,                  0.995,                0.99319,                0.99919,                      1,                  0.995,                0.99426,                0.13148,                0.14315,                0.11128,                0.80381,               0.009806,               0.009806,               0.009806
                    101,                0.29399,                0.31065,                0.22314,                0.86529,                 0.9991,                      1,                  0.995,                0.99018,                 0.9991,                      1,                  0.995,                0.99435,                0.13865,                0.14776,                0.12559,                0.80551,               0.009804,               0.009804,               0.009804
                    102,                 0.2969,                0.29449,                0.22616,                0.86297,                0.99907,                      1,                  0.995,                0.99362,                0.99907,                      1,                  0.995,                0.99336,                0.14225,                0.14536,                0.12157,                0.80493,               0.009802,               0.009802,               0.009802
                    103,                 0.2888,                0.28264,                0.22397,                0.85824,                0.99904,                      1,                  0.995,                0.99036,                0.99904,                      1,                  0.995,                0.99308,                0.14485,                0.14852,                0.13042,                0.80557,                 0.0098,                 0.0098,                 0.0098
                    104,                0.29611,                0.29415,                0.23223,                0.86306,                      1,                      1,                  0.995,                0.98471,                      1,                      1,                  0.995,                0.99084,                0.14521,                0.16949,                0.12767,                0.81017,               0.009798,               0.009798,               0.009798
                    105,                0.29758,                0.31616,                0.22694,                0.86718,                0.99922,                      1,                  0.995,                 0.9913,                0.99922,                      1,                  0.995,                0.99431,                0.14539,                0.14823,                0.12232,                0.80542,              0.0097961,              0.0097961,              0.0097961
                    106,                0.29501,                0.30721,                0.22677,                0.86285,                0.99921,                      1,                  0.995,                0.99132,                0.99921,                      1,                  0.995,                0.99448,                0.13799,                0.14354,                0.12395,                0.80643,              0.0097941,              0.0097941,              0.0097941
                    107,                0.29366,                0.28399,                0.22347,                0.86163,                0.99917,                      1,                  0.995,                0.99327,                0.99917,                      1,                  0.995,                0.99338,                0.13483,                0.14688,                0.11965,                0.80478,              0.0097921,              0.0097921,              0.0097921
                    108,                0.29257,                0.29075,                0.22268,                0.85906,                0.99922,                      1,                  0.995,                0.99258,                0.99922,                      1,                  0.995,                0.99351,                0.12918,                0.14235,                0.11666,                0.80331,              0.0097901,              0.0097901,              0.0097901
                    109,                 0.2911,                0.29029,                0.22258,                0.86289,                0.99905,                      1,                  0.995,                0.99093,                0.99905,                      1,                  0.995,                0.99318,                0.13467,                0.14791,                0.11412,                0.80414,              0.0097881,              0.0097881,              0.0097881
                    110,                0.28888,                0.27875,                0.22226,                0.85934,                0.99899,                      1,                  0.995,                0.99088,                0.99899,                      1,                  0.995,                0.99337,                0.12998,                0.14617,                0.10377,                0.80033,              0.0097862,              0.0097862,              0.0097862
                    111,                0.28534,                0.29161,                0.22394,                0.85885,                0.99911,                      1,                  0.995,                0.99373,                0.99911,                      1,                  0.995,                0.99179,                0.13257,                0.13831,                0.11312,                0.80367,              0.0097842,              0.0097842,              0.0097842
